"keys","ja"
"Duplicate Play","二重使用"
"Easy Mode","イージーモード"
"Effects","効果音"
"Enchant Cards (25)","カードを強化 (25)"
"End Turn","ターン終了"
"Endless Mode","エンドレスモード"
"Enemies","敵"
"Energy Next Turn","次ターンのエナジー"
"Energy will be preserved between turns","エナジーを次のターンに持ち越す"
"Ethereal","エセリアル"
"Event","イベント"
"Exhaust","廃棄"
"Exhausts if in hand end of turn","ターン終了時に手札にあると廃棄される"
"Exit","終了"
"Fastest Win Time: %02d:%02d:%02d","最速クリア時間：%02d:%02d:%02d"
"Feedback Loop","フィードバックループ"
"Fertilize","施肥"
"Floor: {0}","階層：{0}"
"Forfeit Run","ランを放棄"
"Fruit","果実"
"Fully heals player when obtained","入手時、HPを全回復する"
"GENERATED","生成"
"Gain 1 energy on the first turn","最初のターン、エナジーを1得る"
"Gain 1 energy per turn. You can no longer gain money","毎ターン、エナジーを1得る。お金を得られなくなる"
"Gain 10 strength. Cannot be played unless it has Absorbed 5 energy. [card_absorbed_energy] Absorbed.","筋力を10得る。エナジーを5吸収するまで使用できない。現在[card_absorbed_energy]吸収。"
"Gain [block] Block and [status_charge_amount] Pointy","ブロックを[block]、トゲトゲを[status_charge_amount]得る。"
"Gain [block] Block. Add [number_of_cards] Wastes to hand","ブロックを[block]得る。放射性廃棄物[number_of_cards]枚を手札に加える。"
"Gain [block] Block. Duplicates on draw. Exhaust.","ブロックを[block]得る。引いた時に複製される。廃棄。"
"Gain [block] block","ブロックを[block]得る。"
"Gain [block] block. Keep block for [status_charge_amount] turns. Exhaust. On pickup, gain [health_amount] HP.","ブロックを[block]得る。ブロックを[status_charge_amount]ターン維持する。廃棄。入手時、HPを[health_amount]回復。"
"Gain [energy_amount] Energy. Add [number_of_cards] Wastes to discard pile.","エナジーを[energy_amount]得る。放射性廃棄物[number_of_cards]枚を捨て札に加える。"
"Gain [energy_icon] whenever you Overheat.","オーバーヒートするたび[energy_icon]を得る。"
"Gain [energy_icon][energy_icon]. Lose [self_damage] HP.","[energy_icon][energy_icon]を得る。HPを[self_damage]失う。"
"Gain [health_amount] HP","HPを[health_amount]回復する。"
"Gain [parent_status_charge_amount] Pointy and apply [target_status_charge_amount] Pointy. Exhaust.","トゲトゲを[parent_status_charge_amount]得て、トゲトゲを[target_status_charge_amount]付与する。廃棄。"
"Gain [status_charge_amount] Overheat each turn.","毎ターン、オーバーヒートを[status_charge_amount]得る。"
"Gain [status_charge_amount] Overshield and draw 1 card.","オーバーシールドを[status_charge_amount]得て、カードを1枚引く。"
"Gain [status_charge_amount] energy next turn.","次のターン、エナジーを[status_charge_amount]得る。"
"Gain [status_charge_amount]. Deal damage equal to Overshield.","オーバーシールドを[status_charge_amount]得る。オーバーシールドと同じ値のダメージを与える。"
"Grants 5 block every 3 attacks","アタック3回ごとにブロックを5得る"
"Grants 5 health when combat is over","戦闘終了時、HPを5回復する"
"Green","緑"
"Growth","成長"
"HP: ","HP："
"HP: {0}","HP：{0}"
"HP: {0}-{1}","HP：{0}～{1}"
"HP: {0}/{1}","HP：{0}/{1}"
"Heal","回復"
"Heal Item","回復のポーション"
"Heals 20%","HPを20%回復する"
"Hedge Accountant","生垣(ヘッジ)会計士"
"Highest Loss Streak: {0}","最高連敗数：{0}"
"Highest Win Streak: {0}","最高連勝数：{0}"
"I don't have enough energy!","エナジーが足りない！"
"Increase Damage","ダメージ強化"
"Increase Draw","ドロー増加"
"Initial","初動"
"Intents","行動予告"
"Invalid Character","無効なキャラクター"
"Language","言語"
"Losses: {0}","敗北数：{0}"
"Lotus","蓮"
"Master","マスター音量"
"Meltdown","メルトダウン"
"Miniboss","エリート"
"Money %s","お金 %s"
"Money:","お金："
"Money: {0}","お金：{0}"
"Moss","コケ"
"Mother Pot","マザー・ポット"
"Multiple Damage Item","全体ダメージのポーション"
"Music","BGM"
"Mute in Background","バックグラウンド時にミュート"
"Negate Damage","ダメージ無効"
"Negate Debuff","デバフ無効"
"New Game","ニューゲーム"
"New Run","新しいラン"
"Next Run","次のラン"
"No Runs Found","ランの記録がありません"
"Not Enough Energy!","エナジーが足りない！"
"Not discarded at end of turn","ターン終了時に捨て札にならない"
"Orange","橙"
"Overheat","オーバーヒート"
"Overshield","オーバーシールド"
"Overshield no longer decays","オーバーシールドが減衰しなくなる。"
"POWER","パワー"
"Particle Accelerator","粒子加速器"
"Petals","花びら"
"Photoelectric Synthesis","光電合成"
"Pick {0} cards to swap. {1} selected","入れ替えるカードを{0}枚選ぶ（{1}枚選択中）"
"Placed in discard pile","捨て札に置かれる"
"Placed on the bottom of deck at start of combat","戦闘開始時、山札の一番下に置かれる"
"Placed on top of deck at start of combat","戦闘開始時、山札の一番上に置かれる"
"Places next card on top of draw pile when played. Does not affect cards that don't go into discard.","次に使用するカードを山札の一番上に置く。捨て札に行かないカードには効果がない。"
"Pointy","トゲトゲ"
"Pollen","花粉"
"Preserve Block","ブロック維持"
"Preserve Energy","エナジー維持"
"Preserve Overshield","オーバーシールド維持"
"Prevents Damage","ダメージを防ぐ"
"Previous Run","前のラン"
"Profile Stats","プロフィール統計"
"Purple","紫"
"RARE","レア"
"Randomly gain [small_max_health_amount] Max HP, [big_max_health_amount] Max HP, or [energy_icon]","ランダムに最大HP+[small_max_health_amount]、最大HP+[big_max_health_amount]、[energy_icon]のいずれかを得る。"
"Rarity","レアリティ"
"Reap","刈り取り"
"Rebound","リバウンド"
"Rebound Play","リバウンド使用"
"Red","赤"
"Remove Cards","カードを削除"
"Rest","休憩"
"Rest site","休憩所"
"Resume","再開"
"Retain","保留"
"Retain. Do [damage]. Gain 4 damage for each unused energy at turn end. Exhaust","保留。[damage]ダメージを与える。ターン終了時、未使用エナジー1につきダメージ+4。廃棄。"
"Return to Title","タイトルへ戻る"
"Reward","報酬"
"Right click to shuffle discard into draw pile.","右クリックで捨て札を山札にシャッフルする。"
"Rinse Biscuit","すすぎビスケット"
"Run History","ラン履歴"
"Run Length: {0}","ラン時間：{0}"
"Run will only end when the player dies","プレイヤーが死ぬまでランが終わらない"
"SKILL","スキル"
"STATUS","状態異常"
"See the top cards in your draw pile","山札の一番上のカードを見られる"
"Seed","シード"
"Seed: {0}","シード：{0}"
"Select A Card","カードを選ぶ"
"Select A Red Card","赤のカードを選ぶ"
"Select An Attack Card","アタックカードを選ぶ"
"Select a target","対象を選択"
"Select an attack card to make appear at the top of your deck.","アタックカードを1枚選び、山札の一番上に置く。"
"Sets enemy HP to 1","敵のHPを1にする"
"Settings","設定"
"Shop","ショップ"
"Skip","スキップ"
"Snip Etiquette","チョキチョキ・マナー"
"Special Discard","特殊捨て札"
"Standard Event Death Message","標準のイベント死亡メッセージ"
"Start Run","ラン開始"
"Summon","召喚"
"Symbiosis","共生"
"Take [status_charge_amount] damage at the start of your turn and draw [status_secondary_charge_amount] cards","ターン開始時、[status_charge_amount]ダメージを受け、カードを[status_secondary_charge_amount]枚引く。"
"Temp Preserve Block","一時ブロック維持"
"Test Blue Boss Artifact.","テスト用の青ボスレリック。"
"Test Blue Shop Artifact.","テスト用の青ショップレリック。"
"Test Event. Select an option...","テストイベント。選択肢を選んでください…"
"Test Green Boss Artifact.","テスト用の緑ボスレリック。"
"Test Green Shop Artifact.","テスト用の緑ショップレリック。"
"Test Orange Boss Artifact.","テスト用の橙ボスレリック。"
"Test Orange Shop Artifact.","テスト用の橙ショップレリック。"
"Test Red Boss Artifact.","テスト用の赤ボスレリック。"
"Test Red Shop Artifact.","テスト用の赤ショップレリック。"
"Test White Boss Artifact.","テスト用の白ボスレリック。"
"Test White Shop Artifact.","テスト用の白ショップレリック。"
"The enemy intends to attack this turn","この敵はこのターン、アタックしようとしている"
"The enemy intends to block this turn","この敵はこのターン、ブロックしようとしている"
"The enemy intends to buff this turn","この敵はこのターン、自身を強化しようとしている"
"The enemy intends to debuff this turn","この敵はこのターン、デバフを与えようとしている"
"The enemy intends to summon additional enemies this turn","この敵はこのターン、仲間を呼ぼうとしている"
"Thorns","トゲの鎧"
"Throw","投げる"
"Top Deck","山札の一番上"
"Total Play Time: %02d:%02d:%02d","総プレイ時間：%02d:%02d:%02d"
"Treasure","宝箱"
"Turn","ターン"
"Turn %s","ターン %s"
"Type","種類"
"UNCOMMON","アンコモン"
"Unplayable","使用不可"
"Unstable","不安定"
"Upgrade","アップグレード"
"Use","使う"
"Used once per combat","戦闘ごとに1回だけ使用できる"
"Uses auto revive consumables","自動復活ポーションを使用する"
"Vera Thornforge","ヴェラ・ソーンフォージ"
"Verdant","新緑"
"Victory","勝利"
"Vines","ツタ"
"Vulnerable","弱体"
"Washerling","ウォッシャるん"
"Waste","放射性廃棄物"
"Weaken","脱力"
"When drawn, cap incoming damage to [status_secondary_charge_amount] for [status_charge_amount] and Exhaust.","引いた時、[status_charge_amount]ターンの間受けるダメージを最大[status_secondary_charge_amount]にし、廃棄される。"
"White","白"
"Wildflower","野の花"
"Win Rate: {0}%","勝率：{0}%"
"Wins: {0}","勝利数：{0}"
"Yes","はい"
"[center][color=green]Draw 2 cards when first drawn.[/color][/center]
","[center][color=green]最初に引いた時、カードを2枚引く。[/color][/center]
"
"[center][color=purple]Block [decorator_value_block][/color][/center]
","[center][color=purple]ブロック[decorator_value_block][/color][/center]
"
"[color=green]Draft a card[/color]","[color=green]カードを1枚選んで獲得[/color]"
"[color=green]Draft a colorless card[/color]","[color=green]無色カードを1枚選んで獲得[/color]"
"[color=green]Draft a common card[/color]","[color=green]コモンカードを1枚選んで獲得[/color]"
"[color=green]Gain 10 Max HP[/color]","[color=green]最大HPを10得る[/color]"
"[color=green]Gain 50 money[/color]","[color=green]お金を50得る[/color]"
"[color=green]Gain Random Common Artifact[/color]","[color=green]ランダムなコモンレリックを得る[/color]"
"[color=green]Replace Starting Artifact With Boss Artifact[/color]","[color=green]初期レリックをボスレリックと交換[/color]"
"[color=grey][Locked]: Insufficient Health[/color]","[color=grey][ロック中]：HPが足りない[/color]"
"[color=grey][Locked]: Insufficient Money[/color]","[color=grey][ロック中]：お金が足りない[/color]"
"[color=red]Current run stats not found[/color]","[color=red]現在のランの統計が見つかりません[/color]"
"[color=red]Lose 10 HP[/color] and [color=green]Gain 100 Money[/color]","[color=red]HPを10失い[/color]、[color=green]お金を100得る[/color]"
"[color=red]Lose 10 Max HP[/color]","[color=red]最大HPを10失う[/color]"
"[color=red]Lose 5 HP[/color]","[color=red]HPを5失う[/color]"
"[color=red]Lose 50 Money[/color] and [color=green]Gain Random Rare Card[/color]","[color=red]お金を50失い[/color]、[color=green]ランダムなレアカードを得る[/color]"
"[color=red]Lose all money[/color]","[color=red]お金をすべて失う[/color]"
"[wave amp=50.0 freq=2.0 connected=1][color=green]Pick something[/color][/wave]","[wave amp=50.0 freq=2.0 connected=1][color=green]何かを選ぼう[/color][/wave]"
"decorator_value_block","decorator_value_block"
"decorator_value_extra_draw","decorator_value_extra_draw"
